holidayName,startDate,endDate
Yom Kippur,9/13/13,9/13/13
Sukkot,9/20/13,9/20/13
Columbus Day,10/14/13,10/14/13
Eid-ul-Adha,10/15/13,10/15/13
Parent-Teacher Conferences (HS),10/24/13,10/25/13
"Halloween, Diwali",10/31/13,10/31/13
Election Day,11/5/13,11/5/13
Veterans‰Ûª Day,11/11/13,11/11/13
Parent-Teacher Conferences (ES),11/13/13,11/14/13
Parent-Teacher Conferences (MS),11/18/13,11/19/13
Hanukkah,11/26/13,11/26/13
Thanksgiving,11/28/13,11/29/13
Winter Recess,12/23/13,1/1/14
Official Snow Day,1/3/14,1/3/14
MLK Day,1/20/14,1/20/14
Regents Exams (HS only),1/27/14,1/30/14
Scoring Day (HS only),1/31/14,1/31/14
Staff Development Day (HS only),2/3/14,2/3/14
Mid-Winter Recess,2/17/14,2/21/14
Parent-Teacher Conferences (MS),2/26/14,2/27/14
Parent-Teacher Conferences (HS),2/27/14,2/28/14
Parent-Teacher Conferences (ES),3/11/14,3/12/14
St. Patrick‰Ûªs Day,3/17/14,3/17/14
State ELA Tests (grades 3-8),4/1/14,4/3/14
Spring Recess,4/14/14,4/22/14
State Math Tests (grades 3-8),4/30/14,5/2/14
Memorial Day,5/26/14,5/26/14
Clerical Half Day,6/3/14,6/3/14
Anniversary Day,6/5/14,6/5/14
Clerical Half Day,6/9/14,6/9/14
Regents Exams (HS only),6/17/14,6/25/14
